filename    filesize    num_reads   time
DN_V1B_Plate3_H1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  52M    1038927
KE_V8G_Plate4_C12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 52M    1129470
DS_V5B_Plate1_A8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  53M    1077414
KE_V9G_Plate3_A10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 53M    1212157
TV_V2B_Plate3_C4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  54M    1294144
TH_V3B_Plate2_D9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  55M    1392987
SC_V5G_Plate4_F11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 55M    1355072
BK_V1B_Plate2_H6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  55M    1216334
TV_T3_Plate4_B9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   58M    1172129
SC_V6B_Plate1_E8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  59M    1173555
BH_V3G_Plate1_C3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  60M    1290809
KE_V6L_Plate1_H5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  61M    1545413
TH_V2B_Plate4_D10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 61M    1217638
RE_V5B_Plate1_B7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  62M    1237104
KE_V2G_Plate1_B2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  62M    1391299
KE_V6B_Plate1_D11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 62M    1237594
PC_V4S_Plate2_D8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  63M    1392145
TV_V2L_Plate3_D7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  64M    1416622
TV_V2G_Plate3_B2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  64M    1474955
EY_V5G_Plate1_C6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  64M    1429522
EY_V1G_Plate1_E11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 66M    1506964
SC_V1S_Plate2_G11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 68M    1738874
PC_V3L_Plate3_D5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  69M    1522609
AB_V3L_Plate4_G7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  69M    1737614
RE_V4G_Plate3_A6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  70M    1730224
BK_V4B_Plate1_C12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 70M    1414781
AB_V2S_Plate3_B3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  70M    1558371
DS_V2S_Plate2_G1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  71M    1425908
CB_V5L_Plate4_A1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  74M    1920649
TV_T1_Plate4_B8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   76M    1556756
BK_V3B_Plate3_B9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  78M    1730276
BK_V2G_Plate4_C6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  80M    1851985
DS_V2G_Plate3_C3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  80M    1976761
KE_V9L_Plate1_D5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  80M    2046253
RE_V3G_Plate1_D7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  81M    1776370
KE_V7L_Plate1_H2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  82M    2129459
EY_V1G_Plate4_G8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  82M    1857929
KE_T1_Plate4_A10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  83M    1753775
TH_V5L_Plate3_A9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  83M    1850754
KE_V1G_Plate1_E9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  86M    1944962
WH_V2G_Plate4_G10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 88M    2009190
DS_V5G_Plate1_D2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  88M    1977300
DN_V5S_Plate2_F10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 89M    2328488
CB_V3S_Plate2_D6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  90M    2315833
WH_V4B_Plate3_D3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  91M    2015687
CH_V2G_Plate4_F4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  91M    2159404
TH_V3L_Plate2_A2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  92M    1821951
DN_V2S_Plate2_D4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  93M    2057020
SC_V5G_Plate3_B12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 96M    2331079
BK_V2S_Plate3_A4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  97M    2286861
DS_T2_Plate4_A8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   101M    2256634
SC_V7L_Plate3_B7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  102M    2060904
PC_V5L_Plate3_A3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  104M    2274289
DN_V3S_Plate3_B5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  108M    2770829
DS_V2L_Plate1_H1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  109M    2865229
BH_V1S_Plate2_A5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  110M    2194834
AB_V2B_Plate2_D12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 111M    2836498
